index,uid,name,category,base,modifier,description,tags,svg_master,svg_themed_pattern,png_pattern,sizes,themes
1,NE0001,smiley_plain,joy,smiley,plain,Original Neutrino emoji: smiley with base expression only.,joy|happy|smile,svg/master/smiley_plain.svg,svg/{theme}/smiley_plain.svg,png/{theme}/{size}/smiley_plain.png,16|32|64|128,classic_yellow|neutrino_blue|graphite_dark|forest_mint|royal_purple|solar_gold|candy_pink|aqua_cyan|lava_orange|mono_ink
2,NE0002,smiley_soft_shadow,joy,smiley,soft_shadow,Original Neutrino emoji: smiley with extra soft drop shadow.,joy|happy|smile|depth,svg/master/smiley_soft_shadow.svg,svg/{theme}/smiley_soft_shadow.svg,png/{theme}/{size}/smiley_soft_shadow.png,16|32|64|128,classic_yellow|neutrino_blue|graphite_dark|forest_mint|royal_purple|solar_gold|candy_pink|aqua_cyan|lava_orange|mono_ink
3,NE0003,smiley_sparkle,joy,smiley,sparkle,Original Neutrino emoji: smiley with sparkle accent.,joy|happy|smile|sparkle,svg/master/smiley_sparkle.svg,svg/{theme}/smiley_sparkle.svg,png/{theme}/{size}/smiley_sparkle.png,16|32|64|128,classic_yellow|neutrino_blue|graphite_dark|forest_mint|royal_purple|solar_gold|candy_pink|aqua_cyan|lava_orange|mono_ink
4,NE0004,smiley_left_sweat,joy,smiley,left_sweat,Original Neutrino emoji: smiley with left-side sweat drop.,joy|happy|smile|sweat,svg/master/smiley_left_sweat.svg,svg/{theme}/smiley_left_sweat.svg,png/{theme}/{size}/smiley_left_sweat.png,16|32|64|128,classic_yellow|neutrino_blue|graphite_dark|forest_mint|royal_purple|solar_gold|candy_pink|aqua_cyan|lava_orange|mono_ink
5,NE0005,smiley_right_tear,joy,smiley,right_tear,Original Neutrino emoji: smiley with right-side tear drop.,joy|happy|smile|tear,svg/master/smiley_right_tear.svg,svg/{theme}/smiley_right_tear.svg,png/{theme}/{size}/smiley_right_tear.png,16|32|64|128,classic_yellow|neutrino_blue|graphite_dark|forest_mint|royal_purple|solar_gold|candy_pink|aqua_cyan|lava_orange|mono_ink
6,NE0006,smiley_cheek_blush,joy,smiley,cheek_blush,Original Neutrino emoji: smiley with cheek blush marks.,joy|happy|smile|blush,svg/master/smiley_cheek_blush.svg,svg/{theme}/smiley_cheek_blush.svg,png/{theme}/{size}/smiley_cheek_blush.png,16|32|64|128,classic_yellow|neutrino_blue|graphite_dark|forest_mint|royal_purple|solar_gold|candy_pink|aqua_cyan|lava_orange|mono_ink
7,NE0007,smiley_halo,joy,smiley,halo,Original Neutrino emoji: smiley with halo ring.,joy|happy|smile|angel,svg/master/smiley_halo.svg,svg/{theme}/smiley_halo.svg,png/{theme}/{size}/smiley_halo.png,16|32|64|128,classic_yellow|neutrino_blue|graphite_dark|forest_mint|royal_purple|solar_gold|candy_pink|aqua_cyan|lava_orange|mono_ink
8,NE0008,smiley_tiny_horns,joy,smiley,tiny_horns,Original Neutrino emoji: smiley with small horns.,joy|happy|smile|mischief,svg/master/smiley_tiny_horns.svg,svg/{theme}/smiley_tiny_horns.svg,png/{theme}/{size}/smiley_tiny_horns.png,16|32|64|128,classic_yellow|neutrino_blue|graphite_dark|forest_mint|royal_purple|solar_gold|candy_pink|aqua_cyan|lava_orange|mono_ink
9,NE0009,smiley_party_hat,joy,smiley,party_hat,Original Neutrino emoji: smiley with party hat.,joy|happy|smile|party,svg/master/smiley_party_hat.svg,svg/{theme}/smiley_party_hat.svg,png/{theme}/{size}/smiley_party_hat.png,16|32|64|128,classic_yellow|neutrino_blue|graphite_dark|forest_mint|royal_purple|solar_gold|candy_pink|aqua_cyan|lava_orange|mono_ink
10,NE0010,smiley_sunglasses_badge,joy,smiley,sunglasses_badge,Original Neutrino emoji: smiley with small sunglasses badge.,joy|happy|smile|badge|cool,svg/master/smiley_sunglasses_badge.svg,svg/{theme}/smiley_sunglasses_badge.svg,png/{theme}/{size}/smiley_sunglasses_badge.png,16|32|64|128,classic_yellow|neutrino_blue|graphite_dark|forest_mint|royal_purple|solar_gold|candy_pink|aqua_cyan|lava_orange|mono_ink
