uid,index,name,display_name,category,subcategory,kind,item,variant,style,label,tags,master_svg,png_path_template
NEO00001,1,things_tools_backpack_check_00,backpack check 0,things_tools,things_tools,things_tools,backpack,0,check,BAC,things_tools;backpack;check;neutrino;emoji,svg/master/things_tools_backpack_check_00.svg,png/{theme}/{size}/things_tools_backpack_check_00.png
NEO00002,2,things_tools_suitcase_plus_00,suitcase plus 0,things_tools,things_tools,things_tools,suitcase,0,plus,SUI,things_tools;suitcase;plus;neutrino;emoji,svg/master/things_tools_suitcase_plus_00.svg,png/{theme}/{size}/things_tools_suitcase_plus_00.png
NEO00003,3,things_tools_key_minus_00,key minus 0,things_tools,things_tools,things_tools,key,0,minus,KEY,things_tools;key;minus;neutrino;emoji,svg/master/things_tools_key_minus_00.svg,png/{theme}/{size}/things_tools_key_minus_00.png
NEO00004,4,things_tools_lock_alert_00,lock alert 0,things_tools,things_tools,things_tools,lock,0,alert,LOC,things_tools;lock;alert;neutrino;emoji,svg/master/things_tools_lock_alert_00.svg,png/{theme}/{size}/things_tools_lock_alert_00.png
NEO00005,5,things_tools_unlock_music_00,unlock music 0,things_tools,things_tools,things_tools,unlock,0,music,UNL,things_tools;unlock;music;neutrino;emoji,svg/master/things_tools_unlock_music_00.svg,png/{theme}/{size}/things_tools_unlock_music_00.png
NEO00006,6,things_tools_bell_motion_00,bell motion 0,things_tools,things_tools,things_tools,bell,0,motion,BEL,things_tools;bell;motion;neutrino;emoji,svg/master/things_tools_bell_motion_00.svg,png/{theme}/{size}/things_tools_bell_motion_00.png
NEO00007,7,things_tools_hourglass_sleep_00,hourglass sleep 0,things_tools,things_tools,things_tools,hourglass,0,sleep,HOU,things_tools;hourglass;sleep;neutrino;emoji,svg/master/things_tools_hourglass_sleep_00.svg,png/{theme}/{size}/things_tools_hourglass_sleep_00.png
NEO00008,8,things_tools_clock_glow_00,clock glow 0,things_tools,things_tools,things_tools,clock,0,glow,CLO,things_tools;clock;glow;neutrino;emoji,svg/master/things_tools_clock_glow_00.svg,png/{theme}/{size}/things_tools_clock_glow_00.png
NEO00009,9,things_tools_watch_double_00,watch double 0,things_tools,things_tools,things_tools,watch,0,double,WAT,things_tools;watch;double;neutrino;emoji,svg/master/things_tools_watch_double_00.svg,png/{theme}/{size}/things_tools_watch_double_00.png
NEO00010,10,things_tools_lamp_tiny_00,lamp tiny 0,things_tools,things_tools,things_tools,lamp,0,tiny,LAM,things_tools;lamp;tiny;neutrino;emoji,svg/master/things_tools_lamp_tiny_00.svg,png/{theme}/{size}/things_tools_lamp_tiny_00.png
NEO00011,11,things_tools_candle_round_00,candle round 0,things_tools,things_tools,things_tools,candle,0,round,CAN,things_tools;candle;round;neutrino;emoji,svg/master/things_tools_candle_round_00.svg,png/{theme}/{size}/things_tools_candle_round_00.png
NEO00012,12,things_tools_flashlight_square_00,flashlight square 0,things_tools,things_tools,things_tools,flashlight,0,square,FLA,things_tools;flashlight;square;neutrino;emoji,svg/master/things_tools_flashlight_square_00.svg,png/{theme}/{size}/things_tools_flashlight_square_00.png
NEO00013,13,things_tools_book_plain_00,book plain 0,things_tools,things_tools,things_tools,book,0,plain,BOO,things_tools;book;plain;neutrino;emoji,svg/master/things_tools_book_plain_00.svg,png/{theme}/{size}/things_tools_book_plain_00.png
NEO00014,14,things_tools_notebook_sparkle_00,notebook sparkle 0,things_tools,things_tools,things_tools,notebook,0,sparkle,NOT,things_tools;notebook;sparkle;neutrino;emoji,svg/master/things_tools_notebook_sparkle_00.svg,png/{theme}/{size}/things_tools_notebook_sparkle_00.png
NEO00015,15,things_tools_scroll_badge_00,scroll badge 0,things_tools,things_tools,things_tools,scroll,0,badge,SCR,things_tools;scroll;badge;neutrino;emoji,svg/master/things_tools_scroll_badge_00.svg,png/{theme}/{size}/things_tools_scroll_badge_00.png
NEO00016,16,things_tools_map_stripe_00,map stripe 0,things_tools,things_tools,things_tools,map,0,stripe,MAP,things_tools;map;stripe;neutrino;emoji,svg/master/things_tools_map_stripe_00.svg,png/{theme}/{size}/things_tools_map_stripe_00.png
NEO00017,17,things_tools_compass_dot_00,compass dot 0,things_tools,things_tools,things_tools,compass,0,dot,COM,things_tools;compass;dot;neutrino;emoji,svg/master/things_tools_compass_dot_00.svg,png/{theme}/{size}/things_tools_compass_dot_00.png
NEO00018,18,things_tools_magnet_ring_00,magnet ring 0,things_tools,things_tools,things_tools,magnet,0,ring,MAG,things_tools;magnet;ring;neutrino;emoji,svg/master/things_tools_magnet_ring_00.svg,png/{theme}/{size}/things_tools_magnet_ring_00.png
NEO00019,19,things_tools_hammer_shadow_00,hammer shadow 0,things_tools,things_tools,things_tools,hammer,0,shadow,HAM,things_tools;hammer;shadow;neutrino;emoji,svg/master/things_tools_hammer_shadow_00.svg,png/{theme}/{size}/things_tools_hammer_shadow_00.png
NEO00020,20,things_tools_wrench_orbit_00,wrench orbit 0,things_tools,things_tools,things_tools,wrench,0,orbit,WRE,things_tools;wrench;orbit;neutrino;emoji,svg/master/things_tools_wrench_orbit_00.svg,png/{theme}/{size}/things_tools_wrench_orbit_00.png
NEO00021,21,things_tools_screwdriver_leaf_00,screwdriver leaf 0,things_tools,things_tools,things_tools,screwdriver,0,leaf,SCR,things_tools;screwdriver;leaf;neutrino;emoji,svg/master/things_tools_screwdriver_leaf_00.svg,png/{theme}/{size}/things_tools_screwdriver_leaf_00.png
NEO00022,22,things_tools_pliers_star_00,pliers star 0,things_tools,things_tools,things_tools,pliers,0,star,PLI,things_tools;pliers;star;neutrino;emoji,svg/master/things_tools_pliers_star_00.svg,png/{theme}/{size}/things_tools_pliers_star_00.png
NEO00023,23,things_tools_saw_heart_00,saw heart 0,things_tools,things_tools,things_tools,saw,0,heart,SAW,things_tools;saw;heart;neutrino;emoji,svg/master/things_tools_saw_heart_00.svg,png/{theme}/{size}/things_tools_saw_heart_00.png
NEO00024,24,things_tools_axe_bolt_00,axe bolt 0,things_tools,things_tools,things_tools,axe,0,bolt,AXE,things_tools;axe;bolt;neutrino;emoji,svg/master/things_tools_axe_bolt_00.svg,png/{theme}/{size}/things_tools_axe_bolt_00.png
NEO00025,25,things_tools_shovel_check_00,shovel check 0,things_tools,things_tools,things_tools,shovel,0,check,SHO,things_tools;shovel;check;neutrino;emoji,svg/master/things_tools_shovel_check_00.svg,png/{theme}/{size}/things_tools_shovel_check_00.png
NEO00026,26,things_tools_pickaxe_plus_00,pickaxe plus 0,things_tools,things_tools,things_tools,pickaxe,0,plus,PIC,things_tools;pickaxe;plus;neutrino;emoji,svg/master/things_tools_pickaxe_plus_00.svg,png/{theme}/{size}/things_tools_pickaxe_plus_00.png
NEO00027,27,things_tools_broom_minus_00,broom minus 0,things_tools,things_tools,things_tools,broom,0,minus,BRO,things_tools;broom;minus;neutrino;emoji,svg/master/things_tools_broom_minus_00.svg,png/{theme}/{size}/things_tools_broom_minus_00.png
NEO00028,28,things_tools_brush_alert_00,brush alert 0,things_tools,things_tools,things_tools,brush,0,alert,BRU,things_tools;brush;alert;neutrino;emoji,svg/master/things_tools_brush_alert_00.svg,png/{theme}/{size}/things_tools_brush_alert_00.png
NEO00029,29,things_tools_umbrella_music_00,umbrella music 0,things_tools,things_tools,things_tools,umbrella,0,music,UMB,things_tools;umbrella;music;neutrino;emoji,svg/master/things_tools_umbrella_music_00.svg,png/{theme}/{size}/things_tools_umbrella_music_00.png
NEO00030,30,things_tools_glasses_motion_00,glasses motion 0,things_tools,things_tools,things_tools,glasses,0,motion,GLA,things_tools;glasses;motion;neutrino;emoji,svg/master/things_tools_glasses_motion_00.svg,png/{theme}/{size}/things_tools_glasses_motion_00.png
NEO00031,31,things_tools_sunglasses_sleep_00,sunglasses sleep 0,things_tools,things_tools,things_tools,sunglasses,0,sleep,SUN,things_tools;sunglasses;sleep;neutrino;emoji,svg/master/things_tools_sunglasses_sleep_00.svg,png/{theme}/{size}/things_tools_sunglasses_sleep_00.png
NEO00032,32,things_tools_crown_glow_00,crown glow 0,things_tools,things_tools,things_tools,crown,0,glow,CRO,things_tools;crown;glow;neutrino;emoji,svg/master/things_tools_crown_glow_00.svg,png/{theme}/{size}/things_tools_crown_glow_00.png
NEO00033,33,things_tools_ring_double_00,ring double 0,things_tools,things_tools,things_tools,ring,0,double,RIN,things_tools;ring;double;neutrino;emoji,svg/master/things_tools_ring_double_00.svg,png/{theme}/{size}/things_tools_ring_double_00.png
NEO00034,34,things_tools_gem_tiny_00,gem tiny 0,things_tools,things_tools,things_tools,gem,0,tiny,GEM,things_tools;gem;tiny;neutrino;emoji,svg/master/things_tools_gem_tiny_00.svg,png/{theme}/{size}/things_tools_gem_tiny_00.png
NEO00035,35,things_tools_coin_round_00,coin round 0,things_tools,things_tools,things_tools,coin,0,round,COI,things_tools;coin;round;neutrino;emoji,svg/master/things_tools_coin_round_00.svg,png/{theme}/{size}/things_tools_coin_round_00.png
NEO00036,36,things_tools_wallet_square_00,wallet square 0,things_tools,things_tools,things_tools,wallet,0,square,WAL,things_tools;wallet;square;neutrino;emoji,svg/master/things_tools_wallet_square_00.svg,png/{theme}/{size}/things_tools_wallet_square_00.png
NEO00037,37,things_tools_ticket_plain_00,ticket plain 0,things_tools,things_tools,things_tools,ticket,0,plain,TIC,things_tools;ticket;plain;neutrino;emoji,svg/master/things_tools_ticket_plain_00.svg,png/{theme}/{size}/things_tools_ticket_plain_00.png
NEO00038,38,things_tools_tag_sparkle_00,tag sparkle 0,things_tools,things_tools,things_tools,tag,0,sparkle,TAG,things_tools;tag;sparkle;neutrino;emoji,svg/master/things_tools_tag_sparkle_00.svg,png/{theme}/{size}/things_tools_tag_sparkle_00.png
NEO00039,39,things_tools_gift_badge_00,gift badge 0,things_tools,things_tools,things_tools,gift,0,badge,GIF,things_tools;gift;badge;neutrino;emoji,svg/master/things_tools_gift_badge_00.svg,png/{theme}/{size}/things_tools_gift_badge_00.png
NEO00040,40,things_tools_balloon_stripe_00,balloon stripe 0,things_tools,things_tools,things_tools,balloon,0,stripe,BAL,things_tools;balloon;stripe;neutrino;emoji,svg/master/things_tools_balloon_stripe_00.svg,png/{theme}/{size}/things_tools_balloon_stripe_00.png
NEO00041,41,things_tools_mail_dot_00,mail dot 0,things_tools,things_tools,things_tools,mail,0,dot,MAI,things_tools;mail;dot;neutrino;emoji,svg/master/things_tools_mail_dot_00.svg,png/{theme}/{size}/things_tools_mail_dot_00.png
NEO00042,42,things_tools_envelope_ring_00,envelope ring 0,things_tools,things_tools,things_tools,envelope,0,ring,ENV,things_tools;envelope;ring;neutrino;emoji,svg/master/things_tools_envelope_ring_00.svg,png/{theme}/{size}/things_tools_envelope_ring_00.png
NEO00043,43,things_tools_package_shadow_00,package shadow 0,things_tools,things_tools,things_tools,package,0,shadow,PAC,things_tools;package;shadow;neutrino;emoji,svg/master/things_tools_package_shadow_00.svg,png/{theme}/{size}/things_tools_package_shadow_00.png
NEO00044,44,things_tools_calendar_orbit_00,calendar orbit 0,things_tools,things_tools,things_tools,calendar,0,orbit,CAL,things_tools;calendar;orbit;neutrino;emoji,svg/master/things_tools_calendar_orbit_00.svg,png/{theme}/{size}/things_tools_calendar_orbit_00.png
NEO00045,45,things_tools_pin_leaf_00,pin leaf 0,things_tools,things_tools,things_tools,pin,0,leaf,PIN,things_tools;pin;leaf;neutrino;emoji,svg/master/things_tools_pin_leaf_00.svg,png/{theme}/{size}/things_tools_pin_leaf_00.png
NEO00046,46,things_tools_pushpin_star_00,pushpin star 0,things_tools,things_tools,things_tools,pushpin,0,star,PUS,things_tools;pushpin;star;neutrino;emoji,svg/master/things_tools_pushpin_star_00.svg,png/{theme}/{size}/things_tools_pushpin_star_00.png
NEO00047,47,things_tools_paperclip_heart_00,paperclip heart 0,things_tools,things_tools,things_tools,paperclip,0,heart,PAP,things_tools;paperclip;heart;neutrino;emoji,svg/master/things_tools_paperclip_heart_00.svg,png/{theme}/{size}/things_tools_paperclip_heart_00.png
NEO00048,48,things_tools_scissors_bolt_00,scissors bolt 0,things_tools,things_tools,things_tools,scissors,0,bolt,SCI,things_tools;scissors;bolt;neutrino;emoji,svg/master/things_tools_scissors_bolt_00.svg,png/{theme}/{size}/things_tools_scissors_bolt_00.png
NEO00049,49,things_tools_ruler_check_00,ruler check 0,things_tools,things_tools,things_tools,ruler,0,check,RUL,things_tools;ruler;check;neutrino;emoji,svg/master/things_tools_ruler_check_00.svg,png/{theme}/{size}/things_tools_ruler_check_00.png
NEO00050,50,things_tools_pencil_plus_00,pencil plus 0,things_tools,things_tools,things_tools,pencil,0,plus,PEN,things_tools;pencil;plus;neutrino;emoji,svg/master/things_tools_pencil_plus_00.svg,png/{theme}/{size}/things_tools_pencil_plus_00.png
NEO00051,51,things_tools_pen_minus_00,pen minus 0,things_tools,things_tools,things_tools,pen,0,minus,PEN,things_tools;pen;minus;neutrino;emoji,svg/master/things_tools_pen_minus_00.svg,png/{theme}/{size}/things_tools_pen_minus_00.png
NEO00052,52,things_tools_paintbrush_alert_00,paintbrush alert 0,things_tools,things_tools,things_tools,paintbrush,0,alert,PAI,things_tools;paintbrush;alert;neutrino;emoji,svg/master/things_tools_paintbrush_alert_00.svg,png/{theme}/{size}/things_tools_paintbrush_alert_00.png
NEO00053,53,things_tools_palette_music_00,palette music 0,things_tools,things_tools,things_tools,palette,0,music,PAL,things_tools;palette;music;neutrino;emoji,svg/master/things_tools_palette_music_00.svg,png/{theme}/{size}/things_tools_palette_music_00.png
NEO00054,54,things_tools_microphone_motion_00,microphone motion 0,things_tools,things_tools,things_tools,microphone,0,motion,MIC,things_tools;microphone;motion;neutrino;emoji,svg/master/things_tools_microphone_motion_00.svg,png/{theme}/{size}/things_tools_microphone_motion_00.png
NEO00055,55,things_tools_speaker_sleep_00,speaker sleep 0,things_tools,things_tools,things_tools,speaker,0,sleep,SPE,things_tools;speaker;sleep;neutrino;emoji,svg/master/things_tools_speaker_sleep_00.svg,png/{theme}/{size}/things_tools_speaker_sleep_00.png
NEO00056,56,things_tools_headphone_glow_00,headphone glow 0,things_tools,things_tools,things_tools,headphone,0,glow,HEA,things_tools;headphone;glow;neutrino;emoji,svg/master/things_tools_headphone_glow_00.svg,png/{theme}/{size}/things_tools_headphone_glow_00.png
NEO00057,57,things_tools_radio_double_00,radio double 0,things_tools,things_tools,things_tools,radio,0,double,RAD,things_tools;radio;double;neutrino;emoji,svg/master/things_tools_radio_double_00.svg,png/{theme}/{size}/things_tools_radio_double_00.png
NEO00058,58,things_tools_camera_tiny_00,camera tiny 0,things_tools,things_tools,things_tools,camera,0,tiny,CAM,things_tools;camera;tiny;neutrino;emoji,svg/master/things_tools_camera_tiny_00.svg,png/{theme}/{size}/things_tools_camera_tiny_00.png
NEO00059,59,things_tools_telescope_round_00,telescope round 0,things_tools,things_tools,things_tools,telescope,0,round,TEL,things_tools;telescope;round;neutrino;emoji,svg/master/things_tools_telescope_round_00.svg,png/{theme}/{size}/things_tools_telescope_round_00.png
NEO00060,60,things_tools_microscope_square_00,microscope square 0,things_tools,things_tools,things_tools,microscope,0,square,MIC,things_tools;microscope;square;neutrino;emoji,svg/master/things_tools_microscope_square_00.svg,png/{theme}/{size}/things_tools_microscope_square_00.png
NEO00061,61,things_tools_test_tube_plain_00,test tube plain 0,things_tools,things_tools,things_tools,test_tube,0,plain,TT,things_tools;test_tube;plain;neutrino;emoji,svg/master/things_tools_test_tube_plain_00.svg,png/{theme}/{size}/things_tools_test_tube_plain_00.png
NEO00062,62,things_tools_beaker_sparkle_00,beaker sparkle 0,things_tools,things_tools,things_tools,beaker,0,sparkle,BEA,things_tools;beaker;sparkle;neutrino;emoji,svg/master/things_tools_beaker_sparkle_00.svg,png/{theme}/{size}/things_tools_beaker_sparkle_00.png
NEO00063,63,things_tools_thread_badge_00,thread badge 0,things_tools,things_tools,things_tools,thread,0,badge,THR,things_tools;thread;badge;neutrino;emoji,svg/master/things_tools_thread_badge_00.svg,png/{theme}/{size}/things_tools_thread_badge_00.png
NEO00064,64,things_tools_yarn_stripe_00,yarn stripe 0,things_tools,things_tools,things_tools,yarn,0,stripe,YAR,things_tools;yarn;stripe;neutrino;emoji,svg/master/things_tools_yarn_stripe_00.svg,png/{theme}/{size}/things_tools_yarn_stripe_00.png
NEO00065,65,things_tools_needle_dot_00,needle dot 0,things_tools,things_tools,things_tools,needle,0,dot,NEE,things_tools;needle;dot;neutrino;emoji,svg/master/things_tools_needle_dot_00.svg,png/{theme}/{size}/things_tools_needle_dot_00.png
