name,category,base,overlay,tags,master_svg,theme_svg_pattern,png_pattern
file,file,file,,file;,svg/master/file.svg,svg/{theme}/file.svg,png/{theme}/{size}/file.png
file_new,file,file,add,file;new,svg/master/file_new.svg,svg/{theme}/file_new.svg,png/{theme}/{size}/file_new.png
file_add,file,file,add,file;add,svg/master/file_add.svg,svg/{theme}/file_add.svg,png/{theme}/{size}/file_add.png
file_remove,file,file,remove,file;remove,svg/master/file_remove.svg,svg/{theme}/file_remove.svg,png/{theme}/{size}/file_remove.png
file_delete,file,file,delete,file;delete,svg/master/file_delete.svg,svg/{theme}/file_delete.svg,png/{theme}/{size}/file_delete.png
file_edit,file,file,edit,file;edit,svg/master/file_edit.svg,svg/{theme}/file_edit.svg,png/{theme}/{size}/file_edit.png
file_search,file,file,search,file;search,svg/master/file_search.svg,svg/{theme}/file_search.svg,png/{theme}/{size}/file_search.png
file_find,file,file,search,file;find,svg/master/file_find.svg,svg/{theme}/file_find.svg,png/{theme}/{size}/file_find.png
file_check,file,file,check,file;check,svg/master/file_check.svg,svg/{theme}/file_check.svg,png/{theme}/{size}/file_check.png
file_ok,file,file,check,file;ok,svg/master/file_ok.svg,svg/{theme}/file_ok.svg,png/{theme}/{size}/file_ok.png
file_error,file,file,error,file;error,svg/master/file_error.svg,svg/{theme}/file_error.svg,png/{theme}/{size}/file_error.png
file_warning,file,file,warning,file;warning,svg/master/file_warning.svg,svg/{theme}/file_warning.svg,png/{theme}/{size}/file_warning.png
file_info,file,file,info,file;info,svg/master/file_info.svg,svg/{theme}/file_info.svg,png/{theme}/{size}/file_info.png
file_help,file,file,help,file;help,svg/master/file_help.svg,svg/{theme}/file_help.svg,png/{theme}/{size}/file_help.png
file_settings,file,file,gear,file;settings,svg/master/file_settings.svg,svg/{theme}/file_settings.svg,png/{theme}/{size}/file_settings.png
file_properties,file,file,info,file;properties,svg/master/file_properties.svg,svg/{theme}/file_properties.svg,png/{theme}/{size}/file_properties.png
file_favorite,file,file,star,file;favorite,svg/master/file_favorite.svg,svg/{theme}/file_favorite.svg,png/{theme}/{size}/file_favorite.png
file_star,file,file,star,file;star,svg/master/file_star.svg,svg/{theme}/file_star.svg,png/{theme}/{size}/file_star.png
file_pin,file,file,pin,file;pin,svg/master/file_pin.svg,svg/{theme}/file_pin.svg,png/{theme}/{size}/file_pin.png
file_lock,file,file,lock,file;lock,svg/master/file_lock.svg,svg/{theme}/file_lock.svg,png/{theme}/{size}/file_lock.png
file_unlock,file,file,unlock,file;unlock,svg/master/file_unlock.svg,svg/{theme}/file_unlock.svg,png/{theme}/{size}/file_unlock.png
file_upload,file,file,upload,file;upload,svg/master/file_upload.svg,svg/{theme}/file_upload.svg,png/{theme}/{size}/file_upload.png
file_download,file,file,download,file;download,svg/master/file_download.svg,svg/{theme}/file_download.svg,png/{theme}/{size}/file_download.png
file_import,file,file,import,file;import,svg/master/file_import.svg,svg/{theme}/file_import.svg,png/{theme}/{size}/file_import.png
file_export,file,file,export,file;export,svg/master/file_export.svg,svg/{theme}/file_export.svg,png/{theme}/{size}/file_export.png
file_sync,file,file,sync,file;sync,svg/master/file_sync.svg,svg/{theme}/file_sync.svg,png/{theme}/{size}/file_sync.png
